,0
0,1253
1,915
2,907
3,1098
4,725
5,2046
6,227
7,2399
8,1731
9,76
10,1671
11,1942
12,410
13,2022
14,1343
15,2122
16,157
17,1872
18,971
19,1637
20,1186
21,1970
22,1727
23,825
24,2413
25,213
26,758
27,1566
28,1106
29,1368
30,162
31,1135
32,25
33,178
34,1609
35,1230
36,2430
37,1871
38,339
39,997
40,1289
41,1139
42,1267
43,1199
44,1172
45,2057
46,70
47,648
48,1791
49,469
50,849
51,726
52,1720
53,2079
54,429
55,270
56,322
57,9
58,269
59,205
60,1592
61,1413
62,430
63,857
64,637
65,541
66,2114
67,1687
68,1997
69,2495
70,353
71,1381
72,2436
73,1781
74,1014
75,1090
76,1150
77,694
78,2140
79,2358
80,1247
81,2166
82,2001
83,291
84,839
85,206
86,826
87,1464
88,812
89,1785
90,460
91,1743
92,1693
93,389
94,760
95,135
96,1561
97,51
98,1704
99,171
100,1018
101,409
102,2271
103,2344
104,1836
105,1325
106,1949
107,1596
108,2347
109,2096
110,172
111,1004
112,2394
113,2077
114,2005
115,137
116,734
117,451
118,2309
119,1160
120,2488
121,1088
122,559
123,385
124,2120
125,543
126,2128
127,2239
128,1599
129,949
130,457
131,1933
132,1843
133,660
134,1477
135,1349
136,150
137,818
138,782
139,841
140,1112
141,313
142,38
143,1082
144,2390
145,715
146,1478
147,1341
148,585
149,1801
150,1097
151,211
152,2051
153,2221
154,2372
155,1514
156,772
157,2141
158,641
159,1578
160,531
161,892
162,548
163,2414
164,1951
165,1558
166,1575
167,1879
168,783
169,196
170,2476
171,360
172,1571
173,2480
174,1679
175,7
176,1380
177,607
178,198
179,1897
180,2231
181,1865
182,278
183,624
184,2129
185,1073
186,545
187,512
188,934
189,2078
190,1792
191,2169
192,579
193,126
194,443
195,2493
196,2296
197,2460
198,643
199,1439
200,672
201,2302
202,2015
203,2335
204,571
205,873
206,141
207,219
208,165
209,2245
210,101
211,236
212,13
213,1824
214,1688
215,420
216,232
217,1774
218,2134
219,332
220,462
221,1379
222,1539
223,966
224,326
225,19
226,937
227,450
228,1421
229,454
230,2167
231,2237
232,468
233,2191
234,2334
235,109
236,354
237,1221
238,83
239,1680
240,816
241,1654
242,1401
243,363
244,1673
245,294
246,511
247,1936
248,496
249,1488
250,1504
251,718
252,127
253,15
254,1608
255,2393
256,2018
257,1125
258,665
259,250
260,2172
261,1849
262,2489
263,2194
264,142
265,319
266,1681
267,2396
268,674
269,829
270,210
271,1529
272,471
273,1324
274,989
275,745
276,1905
277,756
278,1100
279,2417
280,502
281,455
282,1414
283,2091
284,2249
285,863
286,110
287,1935
288,859
289,489
290,1491
291,1800
292,697
293,1206
294,1446
295,2387
296,1953
297,382
298,955
299,958
